Filepath	Title	Performers
./2014/20141216_Birdland/T249.WAV	20141226_Birdland	Michael Feinstein
./2014/20141216_Birdland/T250.WAV	20141226_Birdland_late	Michael Feinstein
./2014/20141216_Birdland/T252.WAV	N/A	Michael Feinstein
./2014/20141216_Birdland/T253.WAV	20141226_Birdland	Michael Feinstein
./2014/20141216_Birdland/T254.WAV	20141227_Birdland	Michael Feinstein
./2014/20141216_Birdland/T255.WAV	20141228_Birdland_late	Michael Feinstein
./2014/20141216_Birdland/T256.WAV	20141228_Birdland	Michael Feinstein
./2014/20141231_LasVegas/T261.WAV	20141231_LasVegasNV	Michael Feinstein
./2015/20150103_wpb_pops/T263.WAV	20150103_WestpalmbeachFl_pops_Act 1	Michael Feinstein
./2015/20150103_wpb_pops/T264 copy.WAV	20150103_WestpalmbeachFl_pops_copy_act 1	Michael Feinstein
./2015/20150103_wpb_pops/T264.WAV	20150103_WestpalmbeachFL_pops_act 2	Michael Feinstein
./2015/20150207_PSP/T265.WAV	20150207_PalmSpringCA_act 1	Michael Feinstein
./2015/20150207_PSP/T266.WAV	20150207_PalmSpringCA_act 2	Michael Feinstein
./2015/20150214_Sarasota/T268.WAV	20150214_SarasotaFl_act 1	Michael Feinstein
./2015/20150214_Sarasota/T269.WAV	20150214_SarasotaFl_act 2	Michael Feinstein
./2015/20150215_Naples/T270.WAV	20150215_NaplesFl_act 1	Michael Feinstein
./2015/20150215_Naples/T271.WAV	20150215_NaplesFl_act 2	Michael Feinstein
./2015/20150224_WPB_pops/T272.WAV	20150224_WestPalmBeachpops_act 1	Michael Feinstein
./2015/20150224_WPB_pops/T273 copy.WAV	20150224_WestPalmBeachpops_copy_Act 1	Michael Feinstein
./2015/20150224_WPB_pops/T273.WAV	20150224_WestPalmBeachpops_act 2	Michael Feinstein
./2015/20150225_lakeland/T274.WAV	20150225_lakelandFl_rehearsal	Michael Feinstein
./2015/20150225_lakeland/T275.WAV	20150225_lakelandFl_act 1	Michael Feinstein
./2015/20150225_lakeland/T276.WAV	20150225_lakelandFl_act 2	Michael Feinstein
./2015/20150307_StonybrookLE/T277.WAV	20150307_StonybrookNY_MFLE_act 1	Michael Feinstein and Linda Eder
./2015/20150307_StonybrookLE/T278.WAV	20150307_StonybrookNY_MFLE_act 2	Michael Feinstein and Linda Eder
./2015/20150314_Dodd Aud/T279.WAV	20150314_FredericksburgVA_act 1	Michael Feinstein
./2015/20150314_Dodd Aud/T280.WAV	20150314_FredericksburgVA_act 2	Michael Feinstein
./2015/20150320_MIA MF CE/T281.WAV	20150320_MiamiFL MF CE_rehearsal1	Micahel Feinstein and Christine Ebersole
